省市縣市代碼,鄉鎮市區代碼,村里,鄰,街_路段,地區,巷,弄,號,橫座標,縱座標
10009,1000911,永定村,14,永定路,,,,１I-,191786.48,2632596.8
10009,1000911,永定村,14,永定路,,,,１I-之１２,191771.28,2632429.0
10009,1000911,永定村,14,永定路,,,,５I-,191759.98,2632595.95
10009,1000911,永定村,14,永定路,,,,５之２８I-,191751.951,2632434.366
10009,1000911,永定村,14,永定路,,,,６I-,191771.98,2632626.7
10009,1000911,永定村,14,永定路,,,,６之１I-,191750.04,2632713.48
10009,1000911,永定村,14,永定路,,,,７I-,191750.08,2632595.75
10009,1000911,永定村,14,永定路,,,,８I-,191767.58,2632626.3
10009,1000911,永定村,14,永定路,,,,９I-,191745.93,2632595.35
10009,1000911,永定村,14,永定路,,,,１０I-,191763.13,2632626.05
10009,1000911,永定村,14,永定路,,,,１１I-,191741.48,2632595.05
10009,1000911,永定村,14,永定路,,,,１２I-,191759.28,2632625.6
10009,1000911,永定村,14,永定路,,,,１３I-,191737.03,2632594.5
10009,1000911,永定村,14,永定路,,,,１４I-,191755.08,2632625.3
10009,1000911,永定村,14,永定路,,,,１５I-,191732.88,2632594.05
10009,1000911,永定村,14,永定路,,,,１６I-,191750.78,2632624.8
10009,1000911,永定村,14,永定路,,,,１７I-,191729.03,2632593.9
10009,1000911,永定村,14,永定路,,,,１８I-,191746.63,2632624.45
10009,1000911,永定村,14,永定路,,,,１９I-,190469.89,2632832.12
10009,1000911,永定村,14,永定路,,,,２０I-,191742.68,2632624.2
